date,year,month,day,day_of_week,venue,city,state,country,song_count,show_url
2006-10-31,2006,10,31,Tuesday,Orpheum Theater,Boston,MA,US,13,https://discobiscuits.net/shows/2006-10-31-orpheum-theater-boston-ma
2006-11-01,2006,11,1,Wednesday,State Theater,Ithaca,NY,US,13,https://discobiscuits.net/shows/2006-11-01-state-theater-ithaca-ny
2006-11-02,2006,11,2,Thursday,Water Street Music Hall,Rochester,NY,US,11,https://discobiscuits.net/shows/2006-11-02-water-street-music-hall-rochester-ny
2006-11-03,2006,11,3,Friday,The Calvin,Northampton,MA,US,13,https://discobiscuits.net/shows/2006-11-03-the-calvin-northampton-ma
2006-11-04,2006,11,4,Saturday,Sonar Lounge,Baltimore,MD,US,12,https://discobiscuits.net/shows/2006-11-04-sonar-lounge-baltimore-md
2006-11-08,2006,11,8,Wednesday,Mr. Small's Funhouse,Pittsburgh,PA,US,14,https://discobiscuits.net/shows/2006-11-08-mr-small-s-funhouse-pittsburgh-pa
2006-11-09,2006,11,9,Thursday,Town Ballroom,Buffalo,NY,US,12,https://discobiscuits.net/shows/2006-11-09-town-ballroom-buffalo-ny
2006-11-10,2006,11,10,Friday,Bogart's,Cincinnati,OH,US,15,https://discobiscuits.net/shows/2006-11-10-bogart-s-cincinnati-oh
2006-11-11,2006,11,11,Saturday,Newport Music Hall,Columbus,OH,US,14,https://discobiscuits.net/shows/2006-11-11-newport-music-hall-columbus-oh
2006-11-12,2006,11,12,Sunday,House of Blues,Cleveland,OH,US,12,https://discobiscuits.net/shows/2006-11-12-house-of-blues-cleveland-oh
2006-11-14,2006,11,14,Tuesday,Bluebird,Bloomington,IN,US,13,https://discobiscuits.net/shows/2006-11-14-bluebird-bloomington-in
2006-11-15,2006,11,15,Wednesday,The Blue Note,Columbia,MO,US,11,https://discobiscuits.net/shows/2006-11-15-the-blue-note-columbia-mo
2006-11-16,2006,11,16,Thursday,Canopy Club,Urbana,IL,US,13,https://discobiscuits.net/shows/2006-11-16-canopy-club-urbana-il
2006-11-17,2006,11,17,Friday,Grenada Theatre,Lawrence,KS,US,11,https://discobiscuits.net/shows/2006-11-17-grenada-theatre-lawrence-ks
2006-11-18,2006,11,18,Saturday,The Fillmore Auditorium,Denver,CO,US,12,https://discobiscuits.net/shows/2006-11-18-the-fillmore-auditorium-denver-co
2006-11-19,2006,11,19,Sunday,Fox Theatre,Boulder,CO,US,13,https://discobiscuits.net/shows/2006-11-19-fox-theatre-boulder-co
2006-11-21,2006,11,21,Tuesday,The New Daisy Theater,Memphis,TN,US,15,https://discobiscuits.net/shows/2006-11-21-the-new-daisy-theater-memphis-tn
2006-11-22,2006,11,22,Wednesday,Variety Playhouse,Atlanta,GA,US,15,https://discobiscuits.net/shows/2006-11-22-variety-playhouse-atlanta-ga
2006-11-24,2006,11,24,Friday,Hammerstein Ballroom,New York,NY,US,16,https://discobiscuits.net/shows/2006-11-24-hammerstein-ballroom-new-york-ny
2006-11-25,2006,11,25,Saturday,Hammerstein Ballroom,New York,NY,US,12,https://discobiscuits.net/shows/2006-11-25-hammerstein-ballroom-new-york-ny
2006-12-04,2006,12,4,Monday,House of Blues,San Diego,CA,US,13,https://discobiscuits.net/shows/2006-12-04-house-of-blues-san-diego-ca
2006-12-06,2006,12,6,Wednesday,The Roxy,Hollywood,CA,US,14,https://discobiscuits.net/shows/2006-12-06-the-roxy-hollywood-ca
2006-12-07,2006,12,7,Thursday,The Roxy,Hollywood,CA,US,13,https://discobiscuits.net/shows/2006-12-07-the-roxy-hollywood-ca
2006-12-08,2006,12,8,Friday,The Independent,San Francisco,CA,US,13,https://discobiscuits.net/shows/2006-12-08-the-independent-san-francisco-ca
2006-12-09,2006,12,9,Saturday,The Independent,San Francisco,CA,US,12,https://discobiscuits.net/shows/2006-12-09-the-independent-san-francisco-ca
